playerID,yearID,stint,teamID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,1B,PA,BA,OBP,TB,SLG,OPS,ISO,BB%,K%,BB/K,BAPIP,SB%,Weighted162Factor,Weight,Height
gaver01,1874-01-01,1,BR2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
altheaa01,1/1/16,1,PHI,0,198,23,0,6,0,4,22,7,2,0,69,0,6,0,0,4,0,0,0.196969697,0.299559471,57,0.0,0.0,0.090908303,0.101321586,0.0,0.333333333,0.28,0.0,0.604938272,215,6.416666
duvalad01,1/1/16,1,CIN,0,552,0,0,0,6,33,0,0,0,41,0,0,6,0,0,0,63,0,0.0,0.0,275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220,6.0833330000000005
rosalad01,1/1/12,1,OAK,0,99,0,0,5,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0.222222222,0.0,33,0.333333,0.0,0.111110778,0.0,0.0,0.458333333,0.0,0.0,3.302469136,0,6.166666
jonesad01,1/1/09,1,BAL,0,0,0,0,0,0,19,70,0,4,0,0,3,7,0,0,13,87,519,0.276955603,0.0,216,0.0,0.0,0.0,0.06936416200000001,0.179190751,0.387096774,0.307692308,0.0,0.0,0,6.166666
bentoal01,1/1/46,1,DET,0,49,0,9,0,0,0,0,0,0,0,0,0,0,5,0,0,8,0,0.183673469,0.0,0,0.0,0.0,0.020407531,0.0,0.0,0.0,0.28125,0.0,0.0,0,6.3333330000000005
beltrad01,1/1/12,1,TEX,0,0,0,0,0,0,0,102,1,0,36,0,0,0,0,9,8,123,0,0.32119205300000003,0.0,339,0.561258,0.0,0.0,0.055045872,0.0,0.43902439,0.319191919,0.0,0.0,220,5.916666
benesal01,1/1/00,1,SLN,30,4,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7098765429999999,215,6.416666
lopezal02,1/1/03,1,KCA,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.833333333,240,6.166666
loisal01,1/1/78,1,PIT,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,0.0,0.25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.086419753,0,5.75
gonzaal02,1/1/11,1,ATL,149,564,59,0,0,0,15,56,2,0,0,126,1,0,4,0,0,0,593,0.0,0.269949066,0,0.0,0.642289066,0.0,0.0,0.212478921,0.174603175,0.284705882,0.0,9.932098765,0,6.0833330000000005
jonesan01,1/1/03,1,ATL,156,0,0,165,28,0,36,116,4,3,53,125,0,5,0,0,0,0,0,0.0,0.0,0,0.0,0.850996502,0.235294076,0.0,0.0,0.0,0.0,0.571428571,0.0,0,6.0833330000000005
mcgafan01,1/1/81,1,NYA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.25
pafkoan01,1/1/47,1,CHN,129,0,0,0,0,0,13,0,0,0,31,39,0,3,3,0,0,0,0,0.30214425,0.0,233,0.454191,0.0,0.0,0.056363636,0.070909091,0.0,0.0,0.0,0.0,0,6.0
earlear01,1/1/60,1,BOS,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,1.37654321,0,6.0833330000000005
sanchan02,1/1/13,1,CHA,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.141975309,0,6.0833330000000005
rochear01,1/1/45,1,WS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012345678999999998,0,6.0
rowelba01,1/1/47,1,BSN,113,384,0,106,0,0,0,40,7,0,18,0,0,1,0,0,0,76,414,0.0,0.310173697,148,0.385416,0.0,0.109374333,0.0,0.033816425,1.285714286,0.276712329,0.0,3.543209877,0,5.916666
decatar01,1/1/26,1,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6.0833330000000005
adamsba01,1/1/10,1,PIT,0,0,9,0,3,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.50065413,0.0,0.0,0.237113402,0.391304348,0.0,0.0,0.0,0,5.916666
blylebe01,1/1/77,1,TEX,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,6.25
mcbriba01,1/1/80,1,PHI,137,554,0,0,0,0,9,0,0,0,26,0,4,0,0,0,0,119,593,0.0,0.0,251,0.0,0.0,0.14440374,0.043844857,0.0,0.448275862,0.328600406,0.0,6.6111111110000005,0,6.166666
